sequence,session,block,position_in_block,load_percent,run_number
1,1,1,1,0,1
2,1,1,2,25,1
3,1,1,3,50,1
4,1,1,4,100,1
5,1,1,5,75,1
6,1,2,1,75,2
7,1,2,2,25,2
8,1,2,3,50,2
9,1,2,4,0,2
10,1,2,5,100,2
11,1,3,1,0,3
12,1,3,2,75,3
13,1,3,3,100,3
14,1,3,4,25,3
15,1,3,5,50,3
16,1,4,1,25,4
17,1,4,2,100,4
18,1,4,3,75,4
19,1,4,4,50,4
20,1,4,5,0,4
21,1,5,1,75,5
22,1,5,2,100,5
23,1,5,3,0,5
24,1,5,4,25,5
25,1,5,5,50,5
26,2,6,1,0,6
27,2,6,2,75,6
28,2,6,3,25,6
29,2,6,4,50,6
30,2,6,5,100,6
31,2,7,1,50,7
32,2,7,2,100,7
33,2,7,3,25,7
34,2,7,4,0,7
35,2,7,5,75,7
36,2,8,1,75,8
37,2,8,2,100,8
38,2,8,3,0,8
39,2,8,4,50,8
40,2,8,5,25,8
41,2,9,1,50,9
42,2,9,2,0,9
43,2,9,3,75,9
44,2,9,4,100,9
45,2,9,5,25,9
46,2,10,1,0,10
47,2,10,2,50,10
48,2,10,3,100,10
49,2,10,4,25,10
50,2,10,5,75,10
