run,slope_events_per_sec_per_1pct_load,slope_events_per_sec_per_25pct_load,r_squared,p_value_within_run
1,-3.084880000000003,-77.12200000000009,0.8958324998260453,0.014741395323426235
2,-7.312199999999997,-182.80499999999992,0.6750748607056289,0.08797182599286604
3,-3.072920000000004,-76.82300000000009,0.9418375920459383,0.006060466994730031
4,-2.6783600000000005,-66.95900000000002,0.7551152044527503,0.05580160208188453
5,-2.955920000000002,-73.89800000000005,0.6621945874314593,0.09374439603060461
6,-0.8629200000000002,-21.573000000000008,0.04359439620124408,0.7361012403751026
7,-2.9117999999999955,-72.79499999999989,0.3300262644433153,0.31105654071940714
8,-1.2879600000000009,-32.19900000000002,0.6461193394799876,0.10118563228598151
9,-1.9555200000000004,-48.88800000000001,0.9618497057718567,0.0031994917087506546
10,-1.900199999999999,-47.504999999999974,0.8061270760215732,0.038587713608687846
