analysis,load_percent,n,throughput_mean,throughput_median,throughput_sd,throughput_cv_pct,p95_mean_ms,p95_median_ms,throughput_change_vs_baseline_mean_pct
primary_all_runs,0,10,2655.846,2662.205,46.35586267608927,1.7454273582161492,0.466,0.46499999999999997,0.0
primary_all_runs,25,10,2535.401,2536.36,94.76490752851971,3.737669407266137,0.531,0.535,-4.535089760475575
primary_all_runs,50,10,2476.353,2499.0150000000003,108.76630013729235,4.392196917696804,0.588,0.565,-6.758411444037038
primary_all_runs,75,10,2399.012,2417.4049999999997,120.25839049498552,5.012829885593966,0.643,0.615,-9.670515534409741
primary_all_runs,100,10,2373.757,2436.99,242.6936407192318,10.224030543953395,0.6010000000000001,0.5800000000000001,-10.621436634503656
sensitivity_exclude_iqr_outliers,0,10,2655.846,2662.205,46.35586267608927,1.7454273582161492,0.466,0.46499999999999997,0.0
sensitivity_exclude_iqr_outliers,25,10,2535.401,2536.36,94.76490752851971,3.737669407266137,0.531,0.535,-4.535089760475575
sensitivity_exclude_iqr_outliers,50,9,2503.9822222222224,2509.34,68.70891459224526,2.743985719326226,0.5644444444444444,0.56,-5.718094263665052
sensitivity_exclude_iqr_outliers,75,10,2399.012,2417.4049999999997,120.25839049498552,5.012829885593966,0.643,0.615,-9.670515534409741
sensitivity_exclude_iqr_outliers,100,9,2442.6844444444446,2443.84,113.19921345918354,4.634213547993882,0.5688888888888889,0.56,-8.02612634751998
